Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,FUR LNLG,FUR LNLGIS,FUR LNLGOGIS
AFG,2015,1.19713,41.8719,54.6349,179.753,39.3407,153.746,-0.9767379999999999,112.48299999999999,2.82076,41.8719,56.2585,179.753,40.9643,153.746,0.646889,112.48299999999999,22.2101,41.8643,75.6478,179.75099999999998,60.3537,153.744,20.0363,112.48,-2.43286,1.69832,4.0564800000000005,1.21694,19.3894,0.7976979999999999,0.37,0.01,0.2,0.19,0.03
AFG,2016,-1.2669,32.3623,67.5523,234.09400000000002,50.6167,175.454,17.6834,117.572,0.627724,32.3623,69.447,234.09400000000002,52.5114,175.454,19.578,117.572,21.1497,32.3552,89.9689,234.093,73.0333,175.452,40.1,117.57,-2.16185,2.2403299999999997,4.0564800000000005,1.21694,20.522,0.67808,0.31,0.01,0.2,0.19,0.03
AFG,2017,-0.0733159,43.444,77.119,233.24400000000003,54.5096,179.794,10.3165,127.74600000000001,1.88968,43.444,79.082,233.24400000000003,56.4726,179.794,12.2794,127.74600000000001,22.9525,43.4384,100.145,233.243,77.5355,179.793,33.3423,127.744,-2.09349,2.37705,4.0564800000000005,1.21694,21.0629,0.695856,0.47,0.01,0.2,0.19,0.03
AFG,2018,-0.0930967,40.5731,131.62,320.432,116.426,243.05700000000002,44.2289,183.101,1.9413900000000002,40.5731,133.654,320.432,118.461,243.05700000000002,46.2634,183.101,27.4388,40.5672,159.15200000000002,320.431,143.958,243.05599999999998,71.7609,183.09900000000002,-2.02199,2.52005,4.0564800000000005,1.21694,25.4974,0.695856,0.39,0.01,0.2,0.19,0.03
AFG,2019,-8.3467,40.9813,91.3044,241.299,64.0162,181.516,13.0618,121.0,-6.32405,40.9813,93.327,241.299,66.0388,181.516,15.0844,121.0,21.5345,40.9735,121.186,241.298,93.8974,181.514,42.943,120.99700000000001,-2.03383,2.49637,4.0564800000000005,1.21694,27.8585,0.7976979999999999,0.49,0.01,0.2,0.19,0.03
AFG,2020,3.15523,34.3206,103.613,201.699,86.0661,196.98,14.6547,108.78299999999999,5.06291,34.3206,105.521,201.699,87.9738,196.98,16.5624,108.78299999999999,30.776,34.3113,131.234,201.69799999999998,113.68700000000001,196.97799999999998,42.2754,108.78,-2.1488099999999997,2.2664299999999997,4.0564800000000005,1.21694,25.7131,0.7976979999999999,0.5,0.01,0.2,0.19,0.03
AFG,mean,-0.29931599999999997,34.6037,90.5437,240.88099999999997,68.4959,197.97299999999998,12.9166,135.248,1.60836,34.5079,92.4513,240.86700000000002,70.4036,197.956,14.8243,135.22299999999998,24.9489,34.4999,115.792,240.86599999999999,93.7441,197.955,38.1648,135.221,-2.1488099999999997,2.2664299999999997,4.0564800000000005,1.21694,23.3405,0.743815,0.4,0.01,0.2,0.19,0.03
AGO,2015,192.577,308.678,-98.4819,272.388,-80.0936,237.9,49.8006,226.39,177.40200000000002,308.678,-113.65700000000001,272.388,-95.2686,237.9,34.6255,226.39,192.063,308.659,-98.9957,272.367,-80.6073,237.875,49.2869,226.364,-20.5043,11.7202,5.32926,1.5987799999999999,14.6613,3.43854,-1.03,0.18,0.69,0.72,0.71
AGO,2016,328.722,138.506,-230.727,304.473,-241.412,299.022,-145.696,159.431,312.818,138.506,-246.63,304.473,-257.315,299.022,-161.599,159.431,327.901,138.463,-231.548,304.453,-242.233,299.003,-146.517,159.394,-21.2327,10.2634,5.32926,1.5987799999999999,15.0825,3.4492800000000003,-1.14,0.18,0.69,0.72,0.71
AGO,2017,4.73923,249.545,-511.968,395.61800000000005,-458.853,434.707,-223.45,385.472,-11.9314,249.545,-528.638,395.61800000000005,-475.523,434.707,-240.12,385.472,3.73483,249.516,-512.972,395.6,-459.85699999999997,434.69,-224.454,385.454,-21.9999,8.72909,5.32926,1.5987799999999999,15.6662,3.7888800000000002,-2.88,0.18,0.69,0.72,0.71
